Title,Rating,Genre,Cast
The Beekeeper,73.99,"['Action', 'Thriller', 'Drama']","['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson', 'Jeremy Irons', 'Taylor James', 'Phylicia Rashād', 'Jemma Redgrave', 'Minnie Driver', 'Sophia Feliciano', 'Enzo Cilenti', 'Dan Li', 'Reza Diako', 'Adam Basil', 'David Witts', 'Michael Epp', 'Don Gilet', 'Megan Le', 'Georgia Goodman', 'Derek Siow', 'Jay Rincon', 'Kojo Attah', 'Joe Urquhart', 'Peter Brooke', 'Martin Gordon', 'Rebecca Hazlewood', 'Arian Nik', 'Millen Brown', 'Reza Diako', 'Adam Basil', 'Harry Fitzgerald', 'Pedro Minas', 'Sunny Dhillon', 'Rocci Williams', 'Kevin Golding', 'Víctor Pérez', 'Baba Oyejide', 'Bharat Mistri', 'Olivia Mardon', 'Valentina Novakovic', 'Kojo Quainoo', 'Jessica Maria Gilhooley', 'Phil Hodges']"
Oppenheimer,81.16,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie', 'Jason Clarke', 'Dylan Arnold', 'Tom Conti', ""James D'Arcy"", 'David Dastmalchian', 'Dane DeHaan', 'Alden Ehrenreich', 'Tony Goldwyn', 'Jefferson Hall', 'David Krumholtz', 'Matthew Modine', 'Scott Grimes', 'Kurt Koehler', 'John Gowans', 'Macon Blair', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska', 'Petrie Willink', 'Matthias Schweighöfer', 'Alex Wolff', 'Josh Zuckerman', 'Rory Keane', 'Michael Angarano', 'Emma Dumont', 'Sadie Stratton', 'Britt Kyle', 'Guy Burnet', 'Tom Jenkins', 'Louise Lombard', 'Michael Andrew Baker', 'Jeff Hephner', 'Olli Haaskivi', 'David Rysdahl', 'Josh Peck', 'Jack Quaid', 'Brett DelBuono', 'Gustaf Skarsgård', 'James Urbaniak', 'Trond Fausa Aurvåg', 'Devon Bostick', 'Danny Deferrari', 'Christopher Denham', 'Jessica Erin Martin', 'Ronald Auguste', 'Máté Haumann', 'Olivia Thirlby', 'Jack Cutmore-Scott', 'Harrison Gilbertson', 'James Remar', 'Will Roberts', 'Pat Skipper', 'Steve Coulter', 'Jeremy John Wells', 'Sean Avery', 'Adam Kroeger', 'Drew Kenney', 'Bryce Johnson', 'Flora Nolan', 'Kerry Westcott', 'Christina Hogue', 'Clay Bunker', 'Tyler Beardsley', 'Maria Teresa Zuppetta', 'Kate French', 'Gary Oldman', 'Hap Lawrence', 'Meg Schimelpfenig', 'Matt Snead', 'Troy Bronson', 'Andrew Bursiaga']"
Orion and the Dark,66.91,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Jacob Tremblay', 'Paul Walter Hauser', 'Angela Bassett', 'Colin Hanks', 'Natasia Demetriou', 'Golda Rosheuvel', 'Nat Faxon', 'Aparna Nancherla', 'Ike Barinholtz', 'Carla Gugino', 'Matt Dellapina', 'Nick Kishiyama', 'Mia Akemi Brown', 'Shannon Chan-Kent', 'Jack Fisher', 'Werner Herzog', 'Sky Alexis', 'Hira Ambrosino', 'Yoshi Ando', 'Larisa Asuaje', 'Sean Charmatz', 'Walt Dohrn', 'Ren Hanami', 'Amy Hill', 'Alyssa Lee', 'Noah McCown', 'Shino Nakamichi', 'Aliki Theofilopoulos', 'Toru Uchikado']"
Sixty Minutes,68.08,"['Action', 'Drama']","['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum', 'Florian Schmidtke', 'Paul Wollin', 'Aristo Luis', 'Morik Heydo', 'Alain Blazevic', 'Harry Szovik', 'Árpád Antolik', 'Ludger Bökelmann', 'Philipp Droste', 'Szabolcs Kelemen', 'Livia Matthes', 'Balázs Megyeri']"
Due Justice,65.58,"['Crime', 'Thriller', 'Action']","['Kellan Lutz', 'William Forsythe', 'Jeff Fahey', 'Efren Ramirez', 'Manu Intiraymi', 'Niko Foster', 'Tonantzin Esparza']"
Madame Web,54,"['Fantasy', 'Action', 'Science Fiction']","['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Kerry Bishé', 'Adam Scott', 'Emma Roberts', 'Mike Epps', 'Zosia Mamet', 'José María Yázpik', 'Josh Drennen', 'Kathy-Ann Hart', 'Yuma Feldman', 'Jill Hennessy', 'Rosemary Crimp', 'Naheem Garcia', 'Jennifer Ellis', 'Kris Sidberry', 'Erica Souza', 'Dominique Washington', 'Shawnna Thibodeau', 'Gopal Lalwani', 'Michael Malvesti', 'Rena Maliszewski', 'Miranda Adekoje', 'Deirdre McCourt', 'Brian Faherty', 'Shaun Bedgood', 'Mike Bash', 'Cilda Shaur']"
Napoleon,65.07,"['Drama', 'History', 'War']","['Joaquin Phoenix', 'Vanessa Kirby', 'Tahar Rahim', 'Rupert Everett', 'Mark Bonnar', 'Paul Rhys', 'Ben Miles', 'Riana Duce', 'Ludivine Sagnier', 'Edouard Philipponnat', 'Miles Jupp', 'Scott Handy', 'Youssef Kerkour', 'John Hollingworth', 'Abubakar Salim', 'Thom Ashley', 'Jannis Niewöhner', 'Julian Rhind-Tutt', 'John Hodgkinson', 'Erin Ainsworth', 'Isabella Brownson', 'Benjamin Chivers', 'Sam Meakin', 'Sinéad Cusack', 'Harriet Bunton', 'Charlie Greenwood', 'Audrey Brisson-Jutras', 'Matthew Needham', 'Sam Crane', 'Sam Troughton', 'Edward Bennett', 'Julian Wadham', 'Catherine Walker', 'Honor Kneafsey', 'Alexander Shaw', 'Phil Cornwell', 'Harry Taurasi', 'Edward Mercieca', 'Arthur McBain', 'Andy Burse', 'Jonathan Rice', 'Emeric Bernard-Jones', 'Bay Bryan', 'Michael Twaits', ""Michael O'Connor"", 'Dominic Coleman', 'Ian McNeice', 'Richard McCabe', 'Tom Godwin', 'Gavin Spokes', 'Catherine Harvey', 'David Verrey', 'Benedict Martin', 'Edward Hogg', 'Ed Hughes', 'Jonathan Barnwell', 'Robin Soans', 'Abigail Weinstock', 'Bart Lambert', 'Joshua Leese', 'Nicholas Shaw', 'Anna Mawn', 'Imogen Slaughter', 'Mitchell Baggott', 'Ned Costello', 'John Mula', 'Kevin Eldon', 'Henry Morgan', 'Logan Truter', 'Saxon Fox', 'Richard Leeming', 'Billy Byers', 'Tim Faulkner', 'Peter Sandys-Clarke', 'Tim Delap', 'Charlie Barrett', 'Olivia Juno Cleverley', 'Sophie Wohlfeld', 'Cormac Hyde-Corrin', 'Hal Gavin', 'Michael Nardone', 'Chris Barltrop', 'Robert Goodman', 'Sophie Lund', 'Oliver Phillips', 'Morgan Watkins', 'Hannah Flynn', 'Ed Eales White', 'Jacob Marshfield']"
Through My Window: Across the Sea,65.14,"['Romance', 'Drama', 'Comedy']","['Clara Galle', 'Julio Peña', 'Guillermo Lasheras', 'Natalia Azahara', 'Hugo Arbues', 'Eric Masip', 'Andrea Chaparro', 'Emilia Lazo', 'Ivan Lapadula', 'Carla Tous', 'Rachel Lascar', 'Abel Folk', 'Lucy Chaparro', 'Pilar Castro', 'Laurent Meri', 'Nau Sache', 'Jaskaran Brady', 'Gloria Sirvent', 'Òscar Kapoya', 'Clara Sans', 'Enric Ases', 'Mayca Hernández', 'Maria Gibert', 'Xiaoan Ji']"
Haunting on Fraternity Row,52.68,"['Horror', 'Mystery', 'Thriller']","['Jacob Artist', 'Jayson Blair', 'Molly Tarlov', 'Shanley Caswell', 'Claudia Lee', 'Ashton Moio', 'Cameron Moulène', 'Chester Rushing', 'Breon Pugh', 'Ashton Leigh', 'Eduardo Losan', 'Stephanie Honoré', 'Melissa Saint-Amand', 'Abbie Gayle', 'Emily LaGroue', 'Hawn Tran', 'Mary Alice Risener', 'Jordan Smith', 'Hannah Jacole Powell-Yost', 'Ran Yatim', 'Sydney E Eidt', 'Bridget Zewe', 'Jon Vidos']"
The Boy and the Heron,74.63,"['Animation', 'Adventure', 'Fantasy']","['Soma Santoki', 'Masaki Suda', 'Ko Shibasaki', 'Aimyon', 'Yoshino Kimura', 'Takuya Kimura', 'Keiko Takeshita', 'Jun Fubuki', 'Sawako Agawa', 'Karen Takizawa', 'Shinobu Otake', 'Jun Kunimura', 'Kaoru Kobayashi']"
